feature,importance
sbytes,0.11436909187669309
smean,0.1060405938085454
sload,0.053775049200455345
ct_src_dport_ltm,0.05230580502414237
service_-,0.03672144640660864
dload,0.035464259976205385
ct_dst_sport_ltm,0.034910958056461466
dbytes,0.03326674765040135
rate,0.03134731979499729
dmean,0.03062967115772024
dur,0.030504291654956158
sinpkt,0.029919491809123757
proto_udp,0.029142063895749373
service_dns,0.027142412650315362
synack,0.02554966483260123
tcprtt,0.025375656102650673
ackdat,0.02486325881230403
dinpkt,0.024785705860100902
sjit,0.024774594545953387
dpkts,0.02103022547848201
djit,0.019853143067949417
service_http,0.019418010756442075
dloss,0.019107562060401012
sloss,0.015498277733725465
spkts,0.014949103496150801
dtcpb,0.013421573034542236
ct_flw_http_mthd,0.013209430002705658
stcpb,0.012601930304354804
response_body_len,0.011644839686841936
trans_depth,0.010807393456936784
state_INT,0.006335622399435294
proto_unas,0.004334206070109504
proto_tcp,0.002738069301951075
swin,0.0026093549089355825
state_FIN,0.0022504725799940804
dwin,0.0021674965391545193
state_CON,0.002044234217434593
proto_sctp,0.0017172917148605197
proto_arp,0.0015264957227739688
service_smtp,0.001512454224143257
is_sm_ips_ports,0.001379897661104931
service_ftp-data,0.0013674866519106852
proto_ospf,0.0009029856601319707
service_ftp,0.0006708120478749838
state_REQ,0.0005882477561705868
proto_rsvp,0.00042786143930609685
proto_sep,0.0004094967094665444
proto_gre,0.0004037664715245871
proto_ipv6,0.00039176370408997116
ct_ftp_cmd,0.00038711668217482554
is_ftp_login,0.00037226461106455017
service_irc,0.00036912966877849086
proto_any,0.00035289493651152634
proto_sun-nd,0.00034101880908591394
proto_swipe,0.00033494051951837693
service_pop3,0.000322899088373976
service_snmp,0.0003054970977626416
proto_tcf,0.00027892320050596815
proto_ddp,0.00027338504284357435
proto_fire,0.0002709731645174061
proto_mfe-nsp,0.00026947174121176316
proto_3pc,0.00026898172187860643
proto_ipv6-frag,0.0002654786590576604
proto_a/n,0.0002610343809168623
proto_iso-tp4,0.00025308634290064703
proto_vrrp,0.0002529935849672544
proto_netblt,0.00024356697033107544
proto_tp++,0.00024081176231423906
proto_sccopmce,0.0002366620023500898
proto_larp,0.00023533562592847925
proto_idrp,0.0002315472102743186
proto_cphb,0.00023125169819333577
proto_smp,0.0002262003025641158
proto_mobile,0.0002250033215061065
proto_pim,0.00022347257932054326
proto_pgm,0.00022310363180205362
proto_gmtp,0.0002226354487824076
proto_sm,0.0002209898296100777
proto_ifmp,0.00022030409192444415
proto_ipv6-route,0.00021999183780548542
proto_mtp,0.0002185323029486443
proto_sps,0.0002181172504882997
proto_wb-mon,0.00021790889793769913
proto_fc,0.00021509223102157682
proto_trunk-2,0.0002144323040410798
proto_ippc,0.00021194732835587744
proto_vmtp,0.00021169620705037553
proto_eigrp,0.00020926879889633898
proto_ipcv,0.00020892281646252075
proto_wb-expak,0.00020867886578561175
proto_crtp,0.00020698668407181055
proto_idpr,0.0002066252504218503
proto_zero,0.000206508568084544
proto_ipv6-no,0.00020504849405897105
proto_irtp,0.00020406891105889297
proto_crudp,0.00020309639759295633
proto_dgp,0.0002009956916880906
proto_snp,0.00020091450689791707
proto_ptp,0.00020087513804726358
proto_wsn,0.00019830499033463876
proto_ax.25,0.00019828732994240769
proto_compaq-peer,0.00019632333052252784
proto_merit-inp,0.0001953183008724923
proto_iatp,0.0001952671546818163
proto_uti,0.00019406966309269764
proto_bna,0.00019202420725472098
proto_secure-vmtp,0.0001909759042852233
proto_etherip,0.00019070389154352512
proto_sprite-rpc,0.00018996817306106574
proto_trunk-1,0.00018783662144032025
service_dhcp,0.00018754115231754608
