,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms,accuracy,macro avg,weighted avg
precision,0.022032141005702437,0.05937740199846272,0.30785947120608476,0.7939577803059031,0.26533004318322023,0.9987351517817862,0.9843023765675699,0.8286352218811052,0.17886178861788618,0.3225806451612903,0.6770393042802313,0.47616720217090114,0.8502182616380607
recall,0.1255539143279173,0.5300171526586621,0.2078747860112497,0.5642292490118577,0.7095018145826459,0.9623761326903715,0.6067027027027027,0.8492562929061785,0.8148148148148148,0.6818181818181818,0.6770393042802313,0.6052145041524583,0.6770393042802313
f1-score,0.037486218302094816,0.10679108346293416,0.24817518248175183,0.6596649687549231,0.38622485632183906,0.9802185939819188,0.7506939103100023,0.8388190422376042,0.29333333333333333,0.43795620437956206,0.6770393042802313,0.4739363393565963,0.730252543567244
support,677.0,583.0,4089.0,11132.0,6062.0,18871.0,37000.0,3496.0,378.0,44.0,0.6770393042802313,82332.0,82332.0
